ASSIGNED,1루 블루존,101,1,1
ASSIGNED,1루 블루존,101,1,2
ASSIGNED,1루 블루존,101,1,3
ASSIGNED,1루 블루존,101,1,4
ASSIGNED,1루 블루존,101,1,5
ASSIGNED,1루 블루존,101,1,6
ASSIGNED,1루 블루존,101,1,7
ASSIGNED,1루 블루존,101,1,8
ASSIGNED,1루 블루존,101,1,9
ASSIGNED,1루 블루존,101,1,10
ASSIGNED,1루 블루존,101,1,11
ASSIGNED,1루 블루존,101,1,12
ASSIGNED,1루 블루존,101,1,13
ASSIGNED,1루 블루존,101,1,14
ASSIGNED,1루 블루존,101,1,15
ASSIGNED,1루 블루존,101,2,1
ASSIGNED,1루 블루존,101,2,2
ASSIGNED,1루 블루존,101,2,3
ASSIGNED,1루 블루존,101,2,4
ASSIGNED,1루 블루존,101,2,5
ASSIGNED,1루 블루존,101,2,6
ASSIGNED,1루 블루존,101,2,7
ASSIGNED,1루 블루존,101,2,8
ASSIGNED,1루 블루존,101,2,9
ASSIGNED,1루 블루존,101,2,10
ASSIGNED,1루 블루존,101,2,11
ASSIGNED,1루 블루존,101,2,12
ASSIGNED,1루 블루존,101,2,13
ASSIGNED,1루 블루존,101,2,14
ASSIGNED,1루 블루존,101,2,15
ASSIGNED,1루 블루존,101,3,1
ASSIGNED,1루 블루존,101,3,2
ASSIGNED,1루 블루존,101,3,3
ASSIGNED,1루 블루존,101,3,4
ASSIGNED,1루 블루존,101,3,5
ASSIGNED,1루 블루존,101,3,6
ASSIGNED,1루 블루존,101,3,7
ASSIGNED,1루 블루존,101,3,8
ASSIGNED,1루 블루존,101,3,9
ASSIGNED,1루 블루존,101,3,10
ASSIGNED,1루 블루존,101,3,11
ASSIGNED,1루 블루존,101,3,12
ASSIGNED,1루 블루존,101,3,13
ASSIGNED,1루 블루존,101,3,14
ASSIGNED,1루 블루존,101,3,15
ASSIGNED,1루 블루존,101,4,1
ASSIGNED,1루 블루존,101,4,2
ASSIGNED,1루 블루존,101,4,3
ASSIGNED,1루 블루존,101,4,4
ASSIGNED,1루 블루존,101,4,5
ASSIGNED,1루 블루존,101,4,6
ASSIGNED,1루 블루존,101,4,7
ASSIGNED,1루 블루존,101,4,8
ASSIGNED,1루 블루존,101,4,9
ASSIGNED,1루 블루존,101,4,10
ASSIGNED,1루 블루존,101,4,11
ASSIGNED,1루 블루존,101,4,12
ASSIGNED,1루 블루존,101,4,13
ASSIGNED,1루 블루존,101,4,14
ASSIGNED,1루 블루존,101,4,15
ASSIGNED,1루 블루존,101,5,1
ASSIGNED,1루 블루존,101,5,2
ASSIGNED,1루 블루존,101,5,3
ASSIGNED,1루 블루존,101,5,4
ASSIGNED,1루 블루존,101,5,5
ASSIGNED,1루 블루존,101,5,6
ASSIGNED,1루 블루존,101,5,7
ASSIGNED,1루 블루존,101,5,8
ASSIGNED,1루 블루존,101,5,9
ASSIGNED,1루 블루존,101,5,10
ASSIGNED,1루 블루존,101,5,11
ASSIGNED,1루 블루존,101,5,12
ASSIGNED,1루 블루존,101,5,13
ASSIGNED,1루 블루존,101,5,14
ASSIGNED,1루 블루존,101,5,15
ASSIGNED,1루 블루존,101,6,1
ASSIGNED,1루 블루존,101,6,2
ASSIGNED,1루 블루존,101,6,3
ASSIGNED,1루 블루존,101,6,4
ASSIGNED,1루 블루존,101,6,5
ASSIGNED,1루 블루존,101,6,6
ASSIGNED,1루 블루존,101,6,7
ASSIGNED,1루 블루존,101,6,8
ASSIGNED,1루 블루존,101,6,9
ASSIGNED,1루 블루존,101,6,10
ASSIGNED,1루 블루존,101,6,11
ASSIGNED,1루 블루존,101,6,12
ASSIGNED,1루 블루존,101,6,13
